Open Time,Open,High,Low,Close,Volume
2021-01-09 16:00:00,1219.96000000,1235.69000000,1194.08000000,1229.42000000,193868.19879000
2021-01-09 12:00:00,1220.65000000,1235.50000000,1207.29000000,1219.95000000,182191.76916000
2021-01-09 08:00:00,1196.50000000,1237.00000000,1184.64000000,1220.64000000,216546.78765000
2021-01-09 04:00:00,1226.53000000,1227.49000000,1173.65000000,1196.49000000,195105.52631000
2021-01-09 00:00:00,1216.72000000,1234.67000000,1171.36000000,1226.53000000,256010.80317000
2021-01-08 20:00:00,1184.75000000,1229.69000000,1135.51000000,1216.93000000,315638.70813000
2021-01-08 16:00:00,1216.93000000,1242.18000000,1173.00000000,1184.75000000,287616.62425000
2021-01-08 12:00:00,1255.24000000,1273.75000000,1171.72000000,1216.77000000,412593.06251000
2021-01-08 08:00:00,1208.20000000,1270.24000000,1181.73000000,1255.43000000,340828.16003000
2021-01-08 04:00:00,1150.10000000,1214.27000000,1125.41000000,1208.42000000,317360.18426000
2021-01-08 00:00:00,1224.86000000,1233.00000000,1065.00000000,1150.10000000,457136.18423000
2021-01-07 20:00:00,1234.23000000,1267.33000000,1201.45000000,1224.87000000,265253.36200000
2021-01-07 16:00:00,1249.84000000,1289.00000000,1131.00000000,1234.14000000,647222.06056000
2021-01-07 12:00:00,1201.32000000,1249.98000000,1197.64000000,1249.83000000,320851.12478000
2021-01-07 08:00:00,1186.39000000,1205.70000000,1159.03000000,1201.12000000,239241.20032000
2021-01-07 04:00:00,1213.17000000,1218.04000000,1181.09000000,1186.21000000,223588.06912000
2021-01-07 00:00:00,1208.75000000,1224.11000000,1179.91000000,1213.17000000,276767.00381000
2021-01-06 20:00:00,1160.78000000,1213.00000000,1116.61000000,1208.42000000,422346.69818000
2021-01-06 16:00:00,1144.01000000,1208.57000000,1144.01000000,1160.78000000,514560.21454000
2021-01-06 12:00:00,1151.88000000,1158.96000000,1121.00000000,1143.89000000,356213.35095000
2021-01-06 08:00:00,1106.61000000,1166.58000000,1091.00000000,1151.88000000,427002.85506000
2021-01-06 04:00:00,1075.49000000,1135.02000000,1073.03000000,1106.59000000,397722.28203000
2021-01-06 00:00:00,1100.16000000,1110.30000000,1057.26000000,1075.49000000,272291.19258000
2021-01-05 20:00:00,1096.36000000,1120.00000000,1074.44000000,1099.56000000,318972.99776000
2021-01-05 16:00:00,1052.83000000,1108.00000000,1036.29000000,1096.33000000,458535.68236000
2021-01-05 12:00:00,1042.23000000,1064.00000000,1001.00000000,1052.82000000,326089.03064000
2021-01-05 08:00:00,1003.52000000,1050.93000000,1003.51000000,1042.21000000,324534.17389000
2021-01-05 04:00:00,1001.75000000,1030.81000000,974.45000000,1003.45000000,525071.48466000
2021-01-05 00:00:00,1041.45000000,1134.60000000,995.00000000,1001.76000000,753792.30594000
2021-01-04 20:00:00,1042.16000000,1049.70000000,992.70000000,1041.43000000,283383.57698000
2021-01-04 16:00:00,1040.00000000,1048.00000000,982.05000000,1042.28000000,540996.24594000
2021-01-04 12:00:00,976.97000000,1058.16000000,956.12000000,1040.01000000,815345.81432000
2021-01-04 08:00:00,1044.30000000,1078.93000000,890.00000000,976.80000000,1176111.38746000
2021-01-04 04:00:00,1021.41000000,1162.97000000,1012.00000000,1044.31000000,996550.05419000
2021-01-04 00:00:00,978.33000000,1025.81000000,954.22000000,1021.41000000,432623.86115000
2021-01-03 20:00:00,921.61000000,1011.07000000,920.08000000,978.28000000,576458.50130000
2021-01-03 16:00:00,917.95000000,978.00000000,888.93000000,921.53000000,805040.39911000
2021-01-03 12:00:00,829.77000000,921.73000000,826.38000000,917.72000000,698095.22416000
2021-01-03 08:00:00,799.74000000,832.30000000,791.50000000,829.76000000,334288.39418000
2021-01-03 04:00:00,772.44000000,805.74000000,768.71000000,799.78000000,285411.98757000
2021-01-03 00:00:00,774.44000000,781.59000000,770.59000000,772.37000000,114309.37983000
2021-01-02 20:00:00,784.79000000,785.48000000,750.12000000,774.56000000,252385.66804000
2021-01-02 16:00:00,768.45000000,787.69000000,764.50000000,784.79000000,334396.99240000
2021-01-02 12:00:00,729.70000000,772.80000000,728.25000000,768.43000000,428448.45842000
2021-01-02 08:00:00,735.12000000,738.35000000,723.01000000,729.70000000,120264.73109000
2021-01-02 04:00:00,730.39000000,740.49000000,726.26000000,735.12000000,97938.27713000
2021-01-02 00:00:00,728.91000000,734.40000000,714.91000000,730.39000000,119184.44960000
2021-01-01 20:00:00,725.34000000,731.97000000,722.50000000,728.91000000,65676.83838000
2021-01-01 16:00:00,735.39000000,737.73000000,714.29000000,725.34000000,156457.71927000
2021-01-01 12:00:00,738.85000000,743.33000000,732.12000000,735.39000000,121504.02184000
2021-01-01 08:00:00,737.37000000,741.76000000,725.10000000,738.85000000,128108.21447000
2021-01-01 04:00:00,744.87000000,747.09000000,734.40000000,737.38000000,72474.10311000
2021-01-01 00:00:00,736.42000000,749.00000000,729.33000000,744.82000000,130893.19622000
2021-12-24 16:00:00,4094.23000000,4134.84000000,4071.00000000,4078.29000000,39549.72620000
2021-12-24 12:00:00,4079.00000000,4113.50000000,4048.22000000,4094.23000000,41144.58070000
2021-12-24 08:00:00,4088.35000000,4118.05000000,4070.40000000,4079.00000000,33024.34360000
2021-12-24 04:00:00,4092.02000000,4098.93000000,4060.94000000,4088.67000000,24655.36080000
2021-12-24 00:00:00,4111.41000000,4129.00000000,4074.00000000,4092.03000000,46427.56230000
2021-12-23 20:00:00,4133.64000000,4142.75000000,4085.22000000,4111.41000000,53263.69050000
2021-12-23 16:00:00,3950.64000000,4150.00000000,3945.58000000,4133.64000000,137226.71220000
2021-12-23 12:00:00,3934.31000000,3965.50000000,3925.01000000,3950.65000000,42037.38630000
2021-12-23 08:00:00,3911.60000000,3958.81000000,3893.23000000,3934.32000000,46645.45310000
2021-12-23 04:00:00,3960.60000000,3972.00000000,3901.00000000,3911.60000000,35726.42190000
2021-12-23 00:00:00,3979.51000000,4005.00000000,3910.10000000,3960.59000000,65308.15260000
2021-12-22 20:00:00,3997.50000000,4019.70000000,3973.35000000,3979.51000000,32142.02650000
2021-12-22 16:00:00,4007.18000000,4033.32000000,3955.51000000,3997.50000000,45328.30450000
2021-12-22 12:00:00,4022.51000000,4031.07000000,3933.40000000,4007.24000000,90475.98650000
2021-12-22 08:00:00,4047.25000000,4063.07000000,4003.25000000,4022.51000000,41991.51070000
2021-12-22 04:00:00,4048.60000000,4060.00000000,4030.01000000,4047.24000000,39224.46210000
2021-12-22 00:00:00,4014.41000000,4074.87000000,3992.03000000,4048.60000000,54029.51730000
2021-12-21 20:00:00,4007.87000000,4042.77000000,3995.53000000,4014.15000000,38007.40950000
2021-12-21 16:00:00,3978.60000000,4013.11000000,3972.01000000,4007.87000000,31897.96210000
2021-12-21 12:00:00,4025.32000000,4063.00000000,3959.66000000,3978.21000000,68264.24340000
2021-12-21 08:00:00,4003.37000000,4037.73000000,3992.90000000,4025.32000000,48692.75290000
2021-12-21 04:00:00,4007.48000000,4055.00000000,3989.32000000,4003.21000000,76917.17970000
2021-12-21 00:00:00,3944.72000000,4024.11000000,3913.21000000,4007.46000000,77046.80770000
2021-12-20 20:00:00,3872.18000000,3968.23000000,3872.03000000,3944.73000000,84221.00630000
2021-12-20 16:00:00,3800.77000000,3883.63000000,3792.08000000,3872.19000000,47719.50180000
2021-12-20 12:00:00,3813.02000000,3848.21000000,3753.00000000,3800.77000000,75513.18260000
2021-12-20 08:00:00,3823.97000000,3835.00000000,3759.74000000,3813.02000000,52501.42870000
2021-12-20 04:00:00,3906.62000000,3933.76000000,3807.56000000,3823.97000000,57436.04310000
2021-12-20 00:00:00,3924.14000000,3983.37000000,3890.00000000,3906.62000000,49525.31460000
2021-12-19 20:00:00,3914.05000000,3991.00000000,3896.51000000,3924.14000000,38261.41990000
2021-12-19 16:00:00,3927.25000000,3951.89000000,3884.00000000,3914.06000000,35579.94680000
2021-12-19 12:00:00,3925.36000000,3998.00000000,3898.21000000,3927.26000000,65097.57720000
2021-12-19 08:00:00,3976.99000000,3988.50000000,3897.60000000,3925.36000000,62224.63900000
2021-12-19 04:00:00,3988.58000000,4026.99000000,3965.33000000,3977.00000000,41476.45710000
2021-12-19 00:00:00,3959.93000000,4032.43000000,3884.89000000,3988.58000000,63366.28300000
2021-12-18 20:00:00,3943.20000000,3996.93000000,3926.50000000,3959.93000000,31343.16500000
2021-12-18 16:00:00,3945.41000000,3967.86000000,3907.45000000,3943.20000000,33886.05850000
2021-12-18 12:00:00,3958.60000000,3983.39000000,3925.70000000,3945.41000000,41803.00280000
2021-12-18 08:00:00,3890.43000000,3994.68000000,3875.74000000,3958.13000000,73391.44440000
2021-12-18 04:00:00,3877.24000000,3937.00000000,3840.00000000,3890.43000000,55434.93340000
2021-12-18 00:00:00,3875.43000000,3906.15000000,3767.01000000,3877.23000000,103734.65020000
2021-12-17 20:00:00,3881.31000000,3941.37000000,3822.66000000,3875.42000000,58396.09130000
2021-12-17 16:00:00,3834.55000000,3945.00000000,3827.17000000,3881.30000000,85799.68750000
2021-12-17 12:00:00,3834.36000000,3850.70000000,3700.00000000,3834.55000000,134409.48300000
2021-12-17 08:00:00,3881.55000000,3896.10000000,3806.00000000,3834.36000000,62266.30890000
2021-12-17 04:00:00,3967.73000000,3988.69000000,3852.00000000,3881.54000000,82642.75030000
2021-12-17 00:00:00,3959.11000000,3994.10000000,3930.00000000,3968.03000000,39856.60150000
2021-12-16 20:00:00,3996.81000000,4047.90000000,3942.11000000,3958.11000000,51374.70910000
2021-12-16 16:00:00,4081.30000000,4110.53000000,3980.00000000,3996.82000000,86858.74820000
2021-12-16 12:00:00,4069.99000000,4113.43000000,4005.95000000,4082.00000000,84094.50740000
2021-12-16 08:00:00,4021.69000000,4083.26000000,4013.49000000,4069.63000000,49052.21610000
2021-12-16 04:00:00,4018.09000000,4047.96000000,3978.46000000,4021.68000000,42478.54660000
2021-12-16 00:00:00,4019.54000000,4058.47000000,4005.89000000,4018.08000000,54921.30360000
2021-12-15 20:00:00,3969.37000000,4092.22000000,3966.01000000,4019.08000000,117711.79480000
2021-12-15 16:00:00,3659.38000000,3986.80000000,3643.73000000,3969.54000000,192637.33700000
2021-12-15 12:00:00,3851.12000000,3871.91000000,3653.41000000,3659.38000000,86428.48640000
2021-12-15 08:00:00,3863.67000000,3900.00000000,3843.00000000,3851.12000000,47105.37170000
2021-12-15 04:00:00,3847.45000000,3895.92000000,3824.25000000,3863.68000000,49903.99500000
2021-12-15 00:00:00,3858.99000000,3896.00000000,3803.20000000,3847.45000000,48281.07240000
2021-12-14 20:00:00,3768.74000000,3882.74000000,3768.06000000,3858.99000000,64198.27040000
2021-12-14 16:00:00,3785.95000000,3802.62000000,3723.54000000,3768.74000000,50358.26200000
2021-12-14 12:00:00,3839.20000000,3865.09000000,3763.01000000,3785.95000000,84528.70600000
2021-12-14 08:00:00,3783.28000000,3844.70000000,3762.41000000,3839.20000000,70052.09720000
2021-12-14 04:00:00,3775.13000000,3795.75000000,3685.00000000,3783.29000000,69789.44890000
2021-12-14 00:00:00,3781.92000000,3833.00000000,3750.00000000,3775.14000000,56218.96170000
2021-12-13 20:00:00,3765.80000000,3813.26000000,3713.06000000,3781.93000000,83956.18200000
2021-12-13 16:00:00,3810.99000000,3875.12000000,3671.45000000,3765.80000000,147658.63570000
2021-12-13 12:00:00,4011.26000000,4021.59000000,3764.12000000,3810.99000000,128122.05990000
2021-12-13 08:00:00,3987.08000000,4032.00000000,3950.27000000,4011.25000000,39724.29300000
2021-12-13 04:00:00,3996.32000000,4046.99000000,3972.36000000,3987.07000000,50155.24660000
2021-12-13 00:00:00,4130.00000000,4142.75000000,3953.89000000,3996.32000000,83850.81350000
2021-12-12 20:00:00,4139.58000000,4173.63000000,4114.23000000,4130.00000000,36869.76160000
2021-12-12 16:00:00,4024.67000000,4169.95000000,4015.85000000,4139.31000000,73185.88110000
2021-12-12 12:00:00,4036.09000000,4060.00000000,4015.58000000,4024.68000000,42569.20990000
2021-12-12 08:00:00,4055.90000000,4059.95000000,3986.25000000,4036.09000000,37841.82820000
2021-12-12 04:00:00,4042.76000000,4063.47000000,4006.02000000,4055.90000000,30661.59240000
2021-12-12 00:00:00,4089.68000000,4097.27000000,4026.95000000,4042.76000000,39407.24250000
2021-12-11 20:00:00,4002.29000000,4093.00000000,3977.74000000,4089.37000000,41986.18350000
2021-12-11 16:00:00,4058.01000000,4097.08000000,4000.00000000,4004.01000000,45499.27990000
2021-12-11 12:00:00,4014.00000000,4063.65000000,3990.04000000,4058.08000000,45200.21190000
2021-12-11 08:00:00,3978.11000000,4086.90000000,3964.61000000,4013.99000000,97033.51640000
2021-12-11 04:00:00,4008.53000000,4071.57000000,3929.58000000,3977.79000000,81967.14280000
2021-12-11 00:00:00,3898.31000000,4041.00000000,3828.22000000,4008.53000000,116167.09980000
2021-12-10 20:00:00,4016.07000000,4057.75000000,3887.37000000,3897.94000000,88022.59630000
2021-12-10 16:00:00,4022.91000000,4032.88000000,3929.67000000,4016.56000000,114982.47050000
2021-12-10 12:00:00,4156.67000000,4231.08000000,3985.00000000,4022.90000000,167491.30370000
2021-12-10 08:00:00,4031.35000000,4170.53000000,4021.49000000,4156.82000000,60271.93640000
2021-12-10 04:00:00,4140.78000000,4164.33000000,4021.49000000,4031.01000000,68043.55330000
2021-12-10 00:00:00,4105.64000000,4199.87000000,4098.00000000,4140.86000000,64424.70690000
2021-12-09 20:00:00,4122.46000000,4202.76000000,4076.16000000,4105.64000000,67815.65150000
2021-12-09 16:00:00,4201.36000000,4234.63000000,4100.00000000,4122.46000000,96146.06870000
2021-12-09 12:00:00,4304.03000000,4323.60000000,4137.91000000,4201.35000000,104557.48670000
2021-12-09 08:00:00,4379.22000000,4379.22000000,4271.00000000,4304.04000000,71078.47000000
2021-12-09 04:00:00,4358.85000000,4410.00000000,4339.45000000,4379.22000000,46141.99210000
2021-12-09 00:00:00,4436.91000000,4488.00000000,4350.80000000,4359.41000000,76434.04200000
2021-12-08 20:00:00,4381.37000000,4442.00000000,4371.56000000,4436.91000000,46701.40460000
2021-12-08 16:00:00,4403.22000000,4422.00000000,4360.00000000,4381.37000000,56750.28260000
2021-12-08 12:00:00,4267.27000000,4450.49000000,4222.95000000,4403.22000000,119098.93410000
2021-12-08 08:00:00,4367.32000000,4390.00000000,4228.03000000,4267.27000000,86298.49120000
2021-12-08 04:00:00,4293.57000000,4379.03000000,4293.08000000,4367.31000000,55724.44210000
2021-12-08 00:00:00,4306.40000000,4347.64000000,4275.06000000,4293.57000000,64830.38050000
2021-12-07 20:00:00,4313.19000000,4329.80000000,4255.92000000,4306.40000000,52490.66740000
2021-12-07 16:00:00,4386.59000000,4405.00000000,4280.00000000,4313.19000000,62627.20200000
2021-12-07 12:00:00,4408.42000000,4417.87000000,4330.59000000,4386.59000000,84010.91490000
2021-12-07 08:00:00,4352.91000000,4425.00000000,4346.24000000,4408.33000000,79190.42760000
2021-12-07 04:00:00,4341.56000000,4385.22000000,4330.00000000,4352.90000000,59460.89610000
2021-12-07 00:00:00,4347.57000000,4386.91000000,4298.59000000,4341.57000000,82969.64300000
2021-12-06 20:00:00,4194.29000000,4376.15000000,4183.74000000,4347.59000000,132416.58760000
2021-12-06 16:00:00,4125.41000000,4219.01000000,4096.38000000,4194.29000000,102750.62540000
2021-12-06 12:00:00,4044.42000000,4128.55000000,3983.18000000,4125.41000000,126542.99040000
2021-12-06 08:00:00,4071.99000000,4149.20000000,3921.00000000,4044.41000000,213165.44000000
2021-12-06 04:00:00,4168.09000000,4195.78000000,4014.50000000,4071.98000000,76877.95170000
2021-12-06 00:00:00,4196.44000000,4202.16000000,4101.00000000,4168.09000000,74989.36870000
2021-12-05 20:00:00,4138.42000000,4204.27000000,4098.00000000,4196.44000000,53951.80810000
2021-12-05 16:00:00,4070.07000000,4178.00000000,4063.36000000,4138.41000000,92350.13620000
2021-12-05 12:00:00,4194.11000000,4248.19000000,4031.39000000,4070.07000000,136119.56010000
2021-12-05 08:00:00,4199.52000000,4221.70000000,4161.00000000,4194.11000000,67144.84240000
2021-12-05 04:00:00,4162.81000000,4229.63000000,4139.81000000,4199.52000000,85324.56490000
2021-12-05 00:00:00,4117.25000000,4179.56000000,4064.20000000,4162.80000000,101434.52960000
2021-12-04 20:00:00,4117.37000000,4128.56000000,4033.00000000,4117.25000000,63234.87330000
2021-12-04 16:00:00,4036.55000000,4135.56000000,3975.46000000,4117.36000000,91941.82680000
2021-12-04 12:00:00,3866.35000000,4070.00000000,3866.35000000,4036.54000000,150084.17830000
2021-12-04 08:00:00,3893.51000000,3982.13000000,3823.98000000,3866.36000000,150103.29870000
2021-12-04 04:00:00,4058.12000000,4118.35000000,3503.68000000,3893.51000000,549695.27560000
2021-12-04 00:00:00,4215.01000000,4238.59000000,4055.00000000,4058.12000000,106713.69240000
2021-12-03 20:00:00,4228.82000000,4288.11000000,4032.50000000,4215.73000000,175919.51560000
2021-12-03 16:00:00,4468.14000000,4468.74000000,4182.78000000,4228.81000000,227135.20440000
2021-12-03 12:00:00,4612.07000000,4654.88000000,4456.41000000,4468.15000000,105691.73770000
2021-12-03 08:00:00,4568.56000000,4617.67000000,4545.00000000,4612.08000000,48573.67430000
2021-12-03 04:00:00,4493.00000000,4592.82000000,4490.14000000,4568.57000000,74205.94240000
2021-12-03 00:00:00,4511.35000000,4547.56000000,4470.00000000,4493.15000000,46448.79150000
2021-12-02 20:00:00,4488.92000000,4558.11000000,4470.50000000,4511.21000000,45815.39160000
2021-12-02 16:00:00,4543.05000000,4556.01000000,4433.00000000,4489.24000000,76894.45230000
2021-12-02 12:00:00,4531.25000000,4634.83000000,4480.00000000,4543.06000000,104548.52810000
2021-12-02 08:00:00,4560.11000000,4599.42000000,4495.37000000,4531.25000000,65102.80560000
2021-12-02 04:00:00,4491.02000000,4584.88000000,4484.44000000,4560.11000000,51505.72440000
2021-12-02 00:00:00,4582.95000000,4621.35000000,4451.00000000,4490.98000000,107995.05250000
2021-12-01 20:00:00,4659.78000000,4661.99000000,4523.99000000,4582.95000000,81270.25570000
2021-12-01 16:00:00,4725.58000000,4758.00000000,4596.42000000,4660.58000000,67546.84530000
2021-12-01 12:00:00,4672.85000000,4761.41000000,4654.39000000,4725.57000000,80999.57340000
2021-12-01 08:00:00,4766.69000000,4769.51000000,4651.46000000,4672.86000000,92695.88920000
2021-12-01 04:00:00,4759.37000000,4778.75000000,4683.85000000,4766.69000000,75598.88030000
2021-12-01 00:00:00,4630.25000000,4769.07000000,4598.77000000,4759.37000000,110086.86660000
2021-11-30 20:00:00,4663.23000000,4675.00000000,4598.30000000,4630.26000000,52822.73030000
2021-11-30 16:00:00,4613.85000000,4694.46000000,4520.01000000,4663.23000000,181140.01780000
2021-11-30 12:00:00,4590.47000000,4753.00000000,4568.06000000,4613.85000000,213070.22250000
2021-11-30 08:00:00,4412.81000000,4600.55000000,4390.94000000,4590.47000000,123842.15660000
2021-11-30 04:00:00,4434.97000000,4458.74000000,4346.36000000,4412.82000000,76720.12390000
